from,to,airline,start_time,end_time,period,type
北京,首尔,CZ317,8:20,11:30,1234567,A321
北京,首尔,CA123,8:30,11:35,1234567,A330
北京,首尔,OZ332,10:40,13:40,147,A321
北京,首尔,CA131,11:05,14:15,1234567,B738
北京,首尔,OZ3325,11:10,14:10,1234567,A333
北京,首尔,KE2852,11:50,15:10,1234567,B744
北京,首尔,KE856,13:20,16:20,1357,B773
北京,首尔,CA125,13:45,16:50,1234567,B738
北京,首尔,OZ334,16:00,19:00,1234567,A333
北京,首尔,OZ336,17:10,20:10,1234567,A321
北京,首尔,CA137,18:45,21:50,1234567,B738
北京,首尔,CZ315,19:40,22:25,1234567,A321
北京,首尔,KE854,21:15,0:10,1234567,B772
北京,布鲁塞尔,HU491,1:20,5:50,1234567,A330
北京,新加坡,SQ801,0:05,6:25,1234567,B773
北京,新加坡,SQ803,1:10,7:30,1234567,A333
北京,新加坡,JQ008,2:10,8:50,1234567,A330
北京,新加坡,SQ805,8:55,15:15,1234567,B772
北京,新加坡,CA957,13:50,22:05,1234567,B738
北京,新加坡,CA969,15:35,21:25,1234567,A333
北京,新加坡,SQ807,16:45,23:05,1234567,B773
北京,新加坡,CA975,23:30,5:45,1234567,A333
北京,阿拉木图,KC888,0:30,4:15,12356,B757
北京,阿拉木图,HU7933,18:20,21:50,136,B738
北京,马尼拉,PR399,1:40,6:25,467,A320
北京,马尼拉,PR359,12:55,17:40,12457,A320
北京,马尼拉,CZ377,16:15,21:55,1234567,A321
北京,马尼拉,CA179,18:15,23:05,1367,B738
北京,阿布扎比,EY887/9,1:30,6:20,1234567,A330
北京,多哈,QR897/9,1:55,5:40,1234567,B773
北京,莫斯科,UN8888,0:40,4:40,1236,B773
北京,莫斯科,SU201,2:30,6:40,1234567,B763
北京,莫斯科,SU205,11:40,15:55,1234567,A333
北京,莫斯科,CA909,13:45,17:55,1234567,B772
北京,莫斯科,HU7985,15:00,19:05,246,A333
北京,海参崴,S7506,2:20,8:00,37,A320
北京,海参崴,XF770,10:20,15:50,136,T20
北京,法兰克福,CA965,1:50,6:10,1234567,B744
北京,法兰克福,LH721,10:30,14:45,1234567,A380
北京,法兰克福,CA931,14:00,18:15,1234567,B773
北京,慕尼黑,CA961,1:10,5:30,13567,A330
北京,慕尼黑,LH723,13:20,17:50,1234567,A346
北京,伊尔库茨克,S7510,4:35,8:35,1356,A320
北京,伊尔库茨克,HU7967,9:55,14:15,36,B738
北京,马德里,CA907,0:15,6:35,3467,A330
北京,开罗,MS956,0:30,5:30,246,A330
北京,乌兰巴托,OM228,1:05,3:30,2457,B737
北京,乌兰巴托,OM226,2:30,4:55,6,B737
北京,乌兰巴托,CA901,8:35,10:50,1234567,B737
北京,乌兰巴托,OM224,9:30,11:55,136,B737
北京,乌兰巴托,OM224,21:10,23:35,2457,B737
北京,苏黎世,LX197,6:45,11:15,1234567,A343
北京,叶卡捷琳堡,S7520,3:05,7:50,2467,A320
北京,叶卡捷琳堡,U6704,5:15,9:30,5,A320
北京,叶卡捷琳堡,U6704,6:15,10:30,13,A320
北京,克拉斯诺雅尔斯克,S7508,2:35,7:00,47,A320
北京,新西伯利亚,S7874,6:50,10:40,1246,A320
北京,新西伯利亚,S7864,8:35,12:25,35,A320
北京,哈巴罗夫斯克,XF820,0:50,6:35,14,A320
北京,哈巴罗夫斯克,S7516,2:10,8:10,26,A320
北京,基辅,VV182,6:10,9:55,2457,B763
北京,曼谷,TG675,6:45,10:55,1246,A330
北京,曼谷,UL889,14:30,18:35,357,A340
北京,曼谷,TG615,17:05,21:15,1234567,B744
北京,曼谷,CA979,19:35,23:40,1234567,B772
北京,香港,CA135,7:30,11:15,1234567,B738
北京,香港,UO305,7:40,10:50,1234567,A330
北京,香港,KA937,7:40,11:25,1234567,A330
北京,香港,CA101,8:00,11:35,1234567,A321
北京,香港,KA905,8:00,11:40,1234567,A330
北京,香港,CZ310,8:45,12:20,1234567,A380
北京,香港,CA111,9:30,13:05,1234567,A320
北京,香港,CX347,10:00,13:35,1234567,A330
北京,香港,HX337,12:10,15:20,1234567,A330
北京,香港,KA901,12:30,16:05,1234567,A330
北京,香港,CA109,13:00,16:25,1234567,A330
北京,香港,CX391,13:30,16:55,1234567,A330
北京,香港,CA115,15:30,19:00,1234567,A320
北京,香港,KA909,16:30,20:05,1234567,A330
北京,香港,CA117,17:30,21:05,1234567,A321
北京,香港,KA993,18:30,21:55,1234567,A330
北京,香港,CA107,18:30,22:00,1234567,A320
北京,香港,HX313,19:00,22:25,1234567,A330
北京,香港,KA903,19:30,23:00,1234567,A330
北京,香港,KA975,20:30,23:55,1234567,A320
北京,芝加哥,AA186,6:55,6:35,1234567,B772
北京,芝加哥,UA850,16:10,16:30,1234567,B772
北京,釜山,CA129,8:25,11:45,1234567,B738
北京,釜山,HU7909,9:05,11:35,357,B738
北京,釜山,OZ314,10:55,14:10,12356,A320
北京,釜山,OZ316,16:50,20:00,1234567,A320
北京,釜山,KE830,18:25,21:45,1234567,A319
北京,釜山,KE850,18:45,22:05,2,B738
北京,迪拜,EK309,7:20,12:00,1234567,A345
北京,迪拜,CA941,17:40,22:20,12357,A330
北京,迪拜,HU7923,20:15,1:20,15,B767
北京,迪拜,CZ331,23:40,4:45,1356,A330
北京,迪拜,EK307,23:55,4:20,1234567,A380
北京,东京,PK852,8:15,12:40,15,A310
北京,东京,DL618,8:20,13:30,1234567,B767
北京,东京,JL860,8:25,13:00,1234567,B738
北京,东京,CA181,8:30,12:50,1234567,A321
北京,东京,NH956,8:30,13:05,1234567,B763
北京,东京,CA925,9:25,13:55,1234567,B772
北京,东京,CA167,13:25,18:00,1357,A321
北京,东京,NH906,14:45,19:15,1234567,A320
北京,东京,JL864,15:20,19:55,1234567,B738
北京,东京,NH1256,15:45,20:10,1234567,B772
北京,东京,CA421,16:40,21:00,1234567,A320
北京,东京,JL024,16:40,21:05,1234567,B767
北京,东京,CA183,17:25,21:45,1234567,A321
北京,澳门,NX007,8:30,12:10,1234567,A321
北京,澳门,NX001,16:10,20:00,1234567,A321
北京,台北,CA185,8:35,11:45,1234567,A333
北京,台北,HU7987,8:55,12:05,1357,B738
北京,台北,CI512,12:25,15:35,135,B744
北京,台北,BR715,13:45,16:55,246,B773
北京,台北,CA189,14:05,17:10,1246,B772
北京,台北,BR715,19:45,22:55,1357,B773
北京,台北,CI512,20:00,23:10,2467,B744
北京,大阪,CA927,8:40,12:40,1234567,A321
北京,大阪,MU277,9:40,15:10,246,A320
北京,大阪,MU525,10:00,15:45,1357,A320
北京,大阪,CA871,11:30,15:30,1234567,B738
北京,大阪,NH160,14:20,18:20,1234567,B763
北京,大阪,CA161,16:25,20:30,1234567,A321
北京,罗马,AZ791,9:55,15:00,12456,A30
北京,罗马,CA939,13:40,18:55,1234567,A330
北京,名古屋,CA859,8:10,12:10,1357,B738
北京,名古屋,EY888,9:50,13:55,12456,A330
北京,名古屋,MU743,15:20,20:50,1234567,A321
北京,名古屋,CA159,17:00,21:00,1234567,B738
北京,济州岛,KE880,10:55,14:20,1234567,B738
北京,济州岛,KE5874,18:55,22:10,15,B737
北京,巴黎,AF381,0:55,5:30,1234567,B773
北京,巴黎,AF129,9:25,14:10,1234567,B773
北京,巴黎,CA933,13:35,18:40,1234567,B773
北京,赫尔辛基,AY052,10:55,14:45,1234567,A340
北京,阿姆斯特丹,KL898,11:05,15:15,1234567,B744
北京,阿姆斯特丹,CZ345,14:20,18:55,1234567,A330
北京,伦敦,CA851,1:35,13:15,1357,A330
北京,伦敦,BA038,11:15,15:00,1234567,B744
北京,伦敦,CA937,13:30,17:45,1234567,A330
北京,维也纳,OS064,11:25,15:50,12467,B763
北京,平壤,JS152,13:00,16:00,26,T20
北京,平壤,CA121,13:20,16:20,135,B733
北京,平壤,JS252,14:00,17:00,4,T20
北京,纽约,CA981,13:00,14:20,1234567,B744
北京,纽约,UA088,15:45,17:15,1234567,B772
北京,旧金山,DL618,7:50,9:25,13,B767
北京,旧金山,UA888,23:00,8:23,1234567,B744
北京,旧金山,CA985,16:00,12:40,1234567,B744
北京,洛杉矶,UA888,13:40,17:27,5,B744
北京,洛杉矶,CA987,14:00,11:00,2467,B744
北京,洛杉矶,CA983,21:00,18:00,1234567,B773
北京,杜塞尔多夫,CA963,14:00,18:45,257,A330
北京,斯德哥尔摩,CA911,13:50,17:20,13457,B772
北京,底特律,DL188,7:15,8:40,1367,B772
北京,冲绳,CA831,8:20,12:30,36,B738
北京,冲绳,HU7983,14:55,19:10,47,B738
北京,札幌,CA169,8:00,12:50,2367,B738
北京,雅加达,GA891,8:55,14:55,13567,A330
北京,雅加达,CA977,15:25,23:40,257,B738
北京,吉隆坡,MH361,1:30,7:40,1234567,B772
北京,吉隆坡,MH371,9:00,15:10,1236,B772
北京,吉隆坡,CZ747,9:00,15:15,1236,A333
北京,吉隆坡,CA971,15:45,22:00,23567,B757
北京,吉隆坡,MH393,16:35,22:45,457,B772
北京,吉隆坡,UM775,19:00,1:15,6,B767
北京,萨哈林斯克,HZ172,10:40,17:10,24,B737
北京,西雅图,DL128,8:55,5:30,12567,B767
北京,西雅图,HU495,16:20,12:05,1356,A330
北京,米兰,CA949,13:30,19:00,136,A330
北京,河内,VN513,15:45,18:20,23567,A321
北京,多伦多,HU7975,13:55,15:10,36,A340
北京,多伦多,AC032,18:05,18:45,1234567,B773
北京,伊斯坦布尔,CZ679,17:35,0:00,57,B757
北京,伊斯坦布尔,TK021,23:55,5:25,1234567,B773
北京,哥本哈根,SK996,14:55,18:40,1234567,A343
北京,温哥华,CA991,15:50,11:50,1234567,A330
北京,温哥华,AC030,16:05,12:05,123457,B763
北京,悉尼,CA175,15:55,9:30,2467,A330
北京,悉尼,CA173,16:50,6:50,1234567,A330
北京,华盛顿,UA898,18:25,20:02,1234567,B772
北京,普吉岛,HU7929,18:05,22:50,246,B738
北京,普吉岛,CA821,22:40,1:35,357,B738
北京,新德里,MU563,15:45,22:05,2457,A320
北京,新德里,CA947,20:35,1:35,1356,A333
北京,约翰内斯堡,SA289,23:30,8:40,246,A346
北京,仰光,CA905,8:05,13:15,23467,B737
北京,亚的斯亚贝巴,ET605,22:45,6:05,1234567,B772
北京,广岛,CA153,8:30,13:30,13567,B737
北京,福岗,CA953,8:40,14:10,1234567,B738
北京,福岗,MU535,8:40,13:40,1357,B737
北京,德黑兰,IR803,10:30,14:20,7,B747
北京,德黑兰,CZ6025,15:00,21:00,136,B737
北京,德黑兰,IR801,19:00,23:50,4,B747
北京,墨尔本,CA177,15:35,9:00,13456,A330
北京,卡拉奇,CA945,14:55,22:30,14,B757
北京,卡拉奇,PK853,18:30,0:45,5,A310
北京,拉合尔,PK853,18:30,23:40,1,A310
北京,胡志明市,VN513,15:30,22:00,23567,A321
北京,胡志明市,CA903,19:30,23:40,247,B737
北京,珀斯,CZ319,17:30,6:05,246,A333
北京,金边,CZ323,14:30,20:05,1234567,A321
北京,圣彼得堡,HU7965,15:00,19:30,37,A333
北京,哈拉雷,UM775,19:00,6:15,6,B767
北京,休斯顿,UA088,17:00,22:03,1234567,B772
北京,高雄,CI592,18:50,22:25,1,A333
北京,雅典,CA961,2:00,10:30,36,A330
北京,阿尔及尔,AH3061,8:50,14:20,15,A330
北京,罗安达,DT691,7:00,17:00,2,B772
北京,罗安达,HU7923,20:55,10:50,15,B767
北京,布里斯班,CZ381,17:30,9:10,1357,A333
北京,富山,CZ613,10:30,15:55,13457,A319
北京,伊斯兰堡,PK853,17:45,21:00,15,A310
北京,塔什干,HY502,0:10,3:25,4,B763
北京,塔什干,HY506,10:55,14:10,2,B763
北京,塔什干,CZ6027,16:20,19:40,15,A330
北京,仙台,CA923,7:35,13:25,1234567,A319
北京,波士顿,DL188,7:15,11:54,137,B772
北京,波士顿,CO898,18:25,23:50,1234567,B772
北京,吉达,CZ331,23:40,8:50,36,A330
北京,大邱,CA145,8:20,11:35,15,B738
北京,柏林,HU489,14:00,17:20,357,A330
北京,特拉维夫,LY096,22:00,3:05,247,B763
北京,木浦,OZ342,10:50,14:10,25,A321
北京,科伦坡,UL889,14:30,21:25,357,A343
北京,长滩,2P826,1:10,5:55,57,A320
北京,圣堡罗,CA907,0:05,14:55,47,A330
成都,香港,HX453,7:30,10:25,1234567,B738
成都,香港,CA411,7:55,10:10,1234567,A319
成都,香港,KA825,8:20,11:00,1234567,A321
成都,香港,CA439,10:35,12:55,1234567,A319
成都,香港,KA821,13:50,16:25,1234567,A320
成都,香港,3U8617,14:05,16:15,15,A320
成都,香港,CA427,16:20,18:45,1234567,B733
成都,卡拉奇,CA945,18:50,22:00,14,B757
成都,澳门,NX197,15:50,18:15,1357,A319
成都,班加罗尔,CA425,21:30,0:05,246,A319
成都,东京,NH948,9:35,15:20,1234567,B737
成都,东京,CA421,13:00,21:00,1234567,A319
成都,首尔,OZ324,0:20,4:50,1245,A321
成都,首尔,CA435,8:25,14:40,13457,B733
成都,首尔,3U8903,15:15,19:30,26,A320
成都,胡志明市,3U8727,11:25,15:50,14,A320
成都,大阪,CA151,8:25,15:30,136,A319
成都,新加坡,MI935,18:10,23:15,12357,A320
成都,新加坡,CA403,20:00,0:40,1234567,A319
成都,新加坡,MI937,23:10,4:10,46,A320
成都,阿姆斯特丹,KL892,14:15,18:50,146,B744
成都,名古屋,CA405,7:45,14:40,1234567,A321
成都,广岛,MU293,13:35,20:10,1234567,A320
成都,加德满都,CA407,8:50,11:10,26,A319
成都,加德满都,CA437,9:50,10:30,457,A319
成都,普吉岛,3U8925,23:55,2:35,46,A321
成都,吉隆坡,D7321,14:55,19:35,6,A330
成都,吉隆坡,D7327,23:55,4:35,135,A330
成都,阿布扎比,EY811,21:20,0:40,2457,A330
成都,高雄,FE182,19:30,22:30,17,MD83
成都,台北,CI552,13:05,16:25,27,A333
成都,台北,3U8977,13:40,16:45,1357,A321
成都,台北,CA417,14:20,17:40,2467,A321
成都,台北,BR766,19:15,22:35,15,A330
成都,孟买,CA429,21:30,0:20,1357,A319
成都,台中,3U8913,14:00,16:40,4,A321
成都,暹粒,MU2217,17:40,20:30,15,B737
上海,多哈,QR889,0:50,5:45,1234567,B773
上海,新加坡,SQ825,0:35,5:55,1234567,B772
上海,新加坡,SQ827,8:05,13:25,1234567,B772
上海,新加坡,MU567,10:05,15:35,1234567,A330
上海,新加坡,MU565,13:50,19:30,1234567,A320
上海,新加坡,SQ831,14:30,19:50,1234567,B772
上海,新加坡,MU545,16:15,20:50,1234567,B767
上海,新加坡,SQ833,16:35,21:55,1234567,B773
上海,新加坡,SQ835,19:10,0:30,1234567,B772
上海,新加坡,MU543,23:55,5:00,1234567,B767
上海,长滩,2P822,0:15,3:55,26,A320
上海,长滩,Z2029,23:30,3:00,15,A320
上海,马尼拉,5J679,0:30,4:00,1234567,A320
上海,马尼拉,PR337,16:00,19:30,1234567,A330
上海,巴黎,CA833,0:15,6:40,13567,A340
上海,巴黎,AF117,10:45,16:55,1234567,B773
上海,巴黎,AF111,23:35,5:35,1234567,B773
上海,巴黎,MU553,23:55,6:30,1234567,A330
上海,米兰,CA967,1:30,8:05,1234567,A330
上海,莫斯科,SU207,1:40,7:45,1234567,B763
上海,莫斯科,SU209,11:40,17:25,1234567,A333
上海,莫斯科,MU591,12:20,18:20,357,B767
上海,迪拜,EK305,7:15,12:35,1234567,B773
上海,迪拜,MU755,12:10,19:00,26,B767
上海,迪拜,EK303,23:00,5:00,1234567,B773
上海,济州岛,MU5037,13:30,15:50,1234567,B738
上海,香港,KA857,7:40,10:10,1234567,A320
上海,香港,HX235,8:00,10:35,1234567,A330
上海,香港,HO1293,8:20,10:50,1234567,A320
上海,香港,KA871,8:20,11:00,1234567,A320
上海,香港,KA831,8:40,11:15,1234567,A330
上海,香港,MU721,9:00,11:40,1234567,A321
上海,香港,MU501,9:05,11:35,1234567,A320
上海,香港,CX365,9:45,12:25,1234567,B773
上海,香港,MU701,10:00,12:40,1234567,A320
上海,香港,KA803,11:30,14:05,1234567,A330
上海,香港,HX237,11:45,14:30,1234567,A330
上海,香港,MU503,12:05,14:35,1234567,A320
上海,香港,CX367,12:25,15:05,1246,B772
上海,香港,KA865,13:00,15:35,13457,A320
上海,香港,KA877,13:30,16:05,12357,A320
上海,香港,FM845,13:55,16:15,1234567,B738
上海,香港,KA805,14:30,17:05,1234567,A330
上海,香港,MU509,15:05,17:30,1234567,A320
上海,香港,KA893,15:30,17:55,1234567,A321
上海,香港,HO1291,15:50,18:35,1457,A320
上海,香港,KA875,16:30,19:05,1234567,A330
上海,香港,MU505,17:00,19:25,1234567,A320
上海,香港,CX369,17:35,20:10,123467,A330
上海,香港,KA891,18:30,21:05,1234567,A330
上海,香港,HX239,18:45,21:30,1234567,A330
上海,香港,KA835,19:00,21:35,1234567,A320
上海,香港,KA897,19:35,22:15,1234567,A320
上海,香港,KA809,20:30,23:05,1234567,A330
上海,香港,MU725,21:20,23:35,1234567,A320
上海,首尔,MU511,8:20,11:00,1234567,A321
上海,首尔,CZ313,8:25,11:10,1234567,B738
上海,首尔,OZ368,8:35,11:30,1234567,A321
上海,首尔,MU5041,9:05,11:55,1234567,A320
上海,首尔,KE894,11:10,14:05,1234567,A333
上海,首尔,OZ362,12:00,14:50,1234567,A330
上海,首尔,MU5033,12:35,15:20,1234567,A321
上海,首尔,OZ364,13:00,15:55,1234567,A320
上海,首尔,KE898,13:35,16:30,1234567,B772
上海,首尔,FM827,14:25,17:10,1234567,B738
上海,首尔,CZ369,15:00,17:45,1234567,B737
上海,首尔,FM823,15:30,18:20,1234567,B757
上海,首尔,OZ366,16:20,19:15,1234567,B767
上海,首尔,KE2816,18:00,21:00,1234567,B744
上海,首尔,MU5051,18:10,20:45,1234567,A333
上海,首尔,OZ3625,18:15,21:05,1234567,A333
上海,首尔,KE896,21:20,0:15,1234567,B738
上海,东京,FM815,9:00,12:30,1234567,B757
上海,东京,JL872,9:00,13:00,1234567,B767
上海,东京,DL296,9:05,13:05,1234567,A333
上海,东京,MU523,9:10,12:50,1234567,A333
上海,东京,MU537,9:40,13:30,1234567,A333
上海,东京,CA929,9:55,13:50,1234567,A340
上海,东京,NH922,10:15,14:15,1234567,B772
上海,东京,JL874,11:50,15:50,1234567,B738
上海,东京,MU521,12:00,16:00,123567,A333
上海,东京,JL082,12:50,16:40,1234567,B772
上海,东京,NH920,13:10,17:00,1234567,B763
上海,东京,NH1260,13:50,17:40,1234567,B772
上海,东京,JL876,14:05,18:05,1234567,B767
上海,东京,CA919,14:15,18:00,1234567,A321
上海,东京,NH960,17:00,20:55,1234567,B763
上海,东京,MU271,17:05,20:30,1234567,A333
上海,东京,CA157,17:05,21:00,1234567,B738
上海,札幌,MU279,8:15,12:30,23567,A320
上海,澳门,9C8875,8:30,11:10,1234567,A320
上海,澳门,NX137,9:00,11:20,1234567,A320
上海,澳门,FM817,9:55,12:40,1234567,B738
上海,澳门,MU2007,12:25,15:00,1234567,A320
上海,澳门,NX105,13:55,16:40,1234567,A320
上海,澳门,HO1297,16:35,19:15,457,A320
上海,澳门,NX135,16:45,19:25,123567,A319
上海,曼谷,FM839,8:45,12:20,1234567,B738
上海,曼谷,TG663,8:45,12:40,1234567,A333
上海,曼谷,MU541,12:25,15:55,1234567,A320
上海,曼谷,UL887,14:05,17:55,1246,A330
上海,曼谷,FM853,21:05,0:20,1234567,B738
上海,曼谷,MU547,21:40,0:55,1234567,AB6
上海,台北,FM851,9:00,10:45,257,B767
上海,台北,FM801,9:35,11:15,1234567,B738
上海,台北,GE337,10:30,12:00,13,A321
上海,台北,CA195,11:00,12:55,367,A340
上海,台北,CA197,12:00,14:00,2456,B738
上海,台北,CI502,12:05,13:55,1234567,B744
上海,台北,MU5007,12:30,14:00,1234567,A346
上海,台北,BR711,13:15,15:10,12356,B744
上海,台北,MU5097,14:15,16:15,1234567,A321
上海,台北,CZ3095,15:25,17:15,134567,A321
上海,台北,MU5005,15:55,17:40,1357,A330
上海,台北,CI202,16:15,18:15,123467,A333
上海,台北,CA195,16:30,18:25,2,A340
上海,台北,CI504,19:50,21:40,357,B744
上海,台北,BR771,19:50,21:45,134567,A330
上海,台北,BR721/01,20:10,22:05,12457,B744
上海,台北,GE335,20:15,22:00,257,A321
上海,台北,GE303,23:05,0:30,3,A321
上海,富山,FM825,9:10,12:30,26,B738
上海,名古屋,MU529,9:15,12:20,1234567,A320
上海,名古屋,CA405,11:30,14:40,1234567,A319
上海,名古屋,MU719,12:00,15:05,1234567,A320
上海,名古屋,JL884,17:30,20:45,1234567,B738
上海,名古屋,CZ379,17:55,21:05,1234567,A321
上海,名古屋,MU291,18:15,21:25,1234567,A320
上海,大阪,CA921,9:30,12:30,1234567,A321
上海,大阪,MU515,9:30,12:40,1234567,A343
上海,大阪,MU747,12:20,15:40,1234567,B737
上海,大阪,NH156,12:30,15:25,1234567,B763
上海,大阪,JL894,13:10,16:15,1234567,B738
上海,大阪,FM821,15:30,18:25,1234567,B738
上海,大阪,CA163,17:15,20:15,1234567,B738
上海,大阪,JL898,17:50,20:55,1234567,B738
上海,大阪,MU729,18:20,21:00,1234567,A321
上海,大阪,NH154,19:05,22:00,1234567,B763
上海,冲绳,MU287,9:30,12:30,2457,A320
上海,冲绳,MU2149,13:30,16:30,36,A320
上海,吉隆坡,MH387,9:45,15:30,1234567,A333
上海,吉隆坡,MH389,16:05,21:35,1234567,B772
上海,吉隆坡,MU539,19:55,0:50,1234567,A320
上海,吉隆坡,MK681,21:25,3:05,2,A330
上海,苏黎世,LX189,9:45,15:40,1234567,A343
上海,底特律,DL180,10:10,12:05,1234567,B772
上海,台中,GE379,9:55,11:45,257,A321
上海,雅加达,GA895,10:05,15:40,1234567,A330
上海,赫尔辛基,AY058,10:15,14:50,1234567,A340
上海,福岗,MU517,10:30,13:10,1234567,B738
上海,福岗,CA915,11:50,14:25,1234567,B738
上海,福岗,MU531,18:10,20:50,1234567,A320
上海,高雄,CI582,10:45,13:00,26,A333
上海,高雄,BR705,13:15,15:25,47,B747
上海,伦敦,BA168,10:55,15:40,124567,B772
上海,伦敦,VS251,11:25,16:30,1234567,A346
上海,伦敦,MU551,12:35,17:40,2467,A333
上海,釜山,MU5043,8:50,11:35,134567,A320
上海,釜山,KE876,10:55,13:35,1234567,B739
上海,釜山,OZ312,11:40,14:10,13457,A320
上海,釜山,FM829,14:25,16:50,123456,B738
上海,旧金山,CA985,11:30,12:20,1234567,B772
上海,旧金山,CO858,13:45,9:35,1234567,B772
上海,纽约,MU587,11:30,14:15,1234567,A346
上海,纽约,CO086,15:55,18:20,1234567,B772
上海,罗马,MU787,12:20,17:45,24567,A330
上海,阿姆斯特丹,KL896,12:35,17:25,1234567,B744
上海,阿姆斯特丹,KL894,23:55,4:45,23457,B744
上海,洛杉矶,MU583,13:00,10:05,1234567,A346
上海,洛杉矶,CO878,20:25,16:51,1234567,B772
上海,洛杉矶,AA182,21:45,18:35,1234567,B772
上海,温哥华,MU581,13:30,9:10,1234567,A330
上海,温哥华,AC026,18:15,13:55,1234567,B763
上海,法兰克福,CA935,12:25,18:15,1356,A340
上海,法兰克福,LH729,13:50,19:05,1234567,B744
上海,法兰克福,MU219/97,23:55,5:10,1234567,A330
上海,科伦坡,UL887,14:05,20:45,12456,A330
上海,奥克兰,NZ288,14:15,6:50,12456,B772
上海,胡志明市,VN523,15:25,18:50,1234567,A321
上海,胡志明市,MU281,21:45,0:55,1234567,A320
上海,河内,VN531,15:25,18:20,1234567,A320
上海,檀香山,MU571,16:55,9:10,25,A343
上海,芝加哥,CO836,17:00,17:20,1234567,B772
上海,芝加哥,AA288,18:00,18:20,1234567,B772
上海,广岛,MU293,17:30,20:10,1234567,A320
上海,冈山,MU527,17:45,20:40,1234567,A319
上海,多伦多,AC088,17:45,19:20,1234567,B772
上海,悉尼,CA175,19:35,9:30,2467,A330
上海,悉尼,QF130,20:05,10:15,134567,A333
上海,悉尼,MU561,20:20,10:00,1234567,A333
上海,墨尔本,CA177,19:15,9:00,13456,A330
上海,墨尔本,MU737,20:15,10:00,1234567,B767
上海,新德里,MU563,21:00,2:05,2457,A320
上海,新德里,AI349,22:00,2:45,2467,B772
上海,普吉岛,FM831,21:10,1:10,12456,B738
上海,普吉岛,FM857,22:15,2:00,1234567,B738
上海,毛里求斯,MK681,21:25,7:20,2,A330
上海,孟买,AI349,22:00,6:15,2467,B772
上海,伊斯坦布尔,TK027,23:05,5:20,1234567,B773
上海,慕尼黑,LH727,23:45,5:15,1234567,A346
上海,茨城,9C8987,8:40,12:20,124567,A320
